FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,OBLIGADO_PARCIAL,OBLIGADO_ACUMULADO,%_OBLIG_A_LA_FECHA,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PAGADO_PARCIAL,PAGADO_ACUMULADO,POR_PAGAR_A_LA_FECHA
30/11/2024,215-21-01-001-001-000,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,SUELDO BASE,1994240140,2365034913,448218834,184364609,1916816079,81.04810920395914,184364609,1916816079,184364609,1916816079,0
30/11/2024,215-21-01-001-002-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ANTIGU. ART 97 LEY 18883,19180 Y 19280",176000000,176000000,10848461,14787173,165151539,93.83610170454546,14787173,165151539,14787173,165151539,0
30/11/2024,215-21-01-001-002-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,TRIENIOS LEY 15076 ART 7 INCISO 3,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-003-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. PROFESIONAL, DECRETO LEY 479 DE 1974",578000000,578000000,7774110,57469163,570225890,98.6549982698962,57469163,570225890,57469163,570225890,0
30/11/2024,215-21-01-001-004-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIGNACION DE ZONA ASRT 7 Y 25 D.L. N°3551,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-004-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, ART 26 DE LA LEY 19378 Y LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-004-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, DECRETO 450 DE 1974 LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-004-004,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,COMPLEMENTO DE ZONA,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-007-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. MUNICIPAL  ART. 24 Y 31 D.L. 3551,2450000000,2450000000,128544605,223217944,2321455395,94.75328142857143,223217944,2321455395,223217944,2321455395,0
30/11/2024,215-21-01-001-007-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. PROTECCION IMPONIBILIDAD,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-007-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,BONIFICACION ART. 39 D.L. 3551,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-008-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,BONIFICACION ART 21 LEY 19429,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-008-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,PLANILLA COMPLEMENTARIA LEY 19598 ART 4 Y 11,0,0,0,0,0,0.0,0,0,0,0,0
30/11/2024,215-21-01-001-009-005,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIGNACION ART. 1 LEY 19.529,229000000,229000000,11660429,21255235,217339571,94.9081096069869,21255235,217339571,21255235,217339571,0
30/11/2024,215-21-01-001-010-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. POR PERDIDA DE CAJA LEY 18883 ART 97 LETRA.A,0,0,0,0,0,0.0,0,0,0,0,0
