FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,OBLIGADO_PARCIAL,OBLIGADO_ACUMULADO,%_OBLIG_A_LA_FECHA,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PAGADO_PARCIAL,PAGADO_ACUMULADO,POR_PAGAR_A_LA_FECHA
31/10/2024,215-21-01-001-001-000,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,SUELDO BASE,1994240140,2536449913,803998443,178362332,1732451470,68.30221488390967,178362332,1732451470,178362332,1732451470,0
31/10/2024,215-21-01-001-002-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ANTIGU. ART 97 LEY 18883,19180 Y 19280",176000000,176000000,25635634,14746215,150364366,85.43429886363636,14746215,150364366,14746215,150364366,0
31/10/2024,215-21-01-001-002-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,TRIENIOS LEY 15076 ART 7 INCISO 3,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-003-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. PROFESIONAL, DECRETO LEY 479 DE 1974",578000000,578000000,65243273,54989529,512756727,88.7122365051903,54989529,512756727,54989529,512756727,0
31/10/2024,215-21-01-001-004-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIGNACION DE ZONA ASRT 7 Y 25 D.L. N°3551,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-004-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, ART 26 DE LA LEY 19378 Y LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-004-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,"ASIG. DE ZONA, DECRETO 450 DE 1974 LEY 19354",0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-004-004,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,COMPLEMENTO DE ZONA,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-007-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. MUNICIPAL  ART. 24 Y 31 D.L. 3551,2450000000,2450000000,351762549,218484109,2098237451,85.64234493877551,218484109,2098237451,218484109,2098237451,0
31/10/2024,215-21-01-001-007-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIG. PROTECCION IMPONIBILIDAD,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-007-003,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,BONIFICACION ART. 39 D.L. 3551,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-008-001,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,BONIFICACION ART 21 LEY 19429,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-008-002,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,PLANILLA COMPLEMENTARIA LEY 19598 ART 4 Y 11,0,0,0,0,0,0.0,0,0,0,0,0
31/10/2024,215-21-01-001-009-005,GASTO PRESUPUESTARIO,GASTOS EN PERSONAL,PERSONAL DE PLANTA,SUELDO Y SOBRESUELDOS,ASIGNACION ART. 1 LEY 19.529,229000000,229000000,32915664,20361141,196084336,85.62634759825328,20361141,196084336,20361141,196084336,0
