FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PERCIBIDO_PARCIAL,PERCIBIDO_ACUMULADO,%_ACUMULADO,POR_PERCIBIR_A_LA_FECHA
28/02/2025,115-03-01-001-001-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES FUERA DE ROL,500000000,500000000,350529948,24295270,149470052,24295270,149470052,30.0,0
28/02/2025,115-03-01-001-001-002,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES ENROLADAS,4265000000,4265000000,2475858257,74742,1789141743,107243331,1499279899,35.0,289861844
28/02/2025,115-03-01-001-001-003,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES PRIMER SEMESTRE,0,0,0,0,0,0,0,,0
28/02/2025,115-03-01-001-001-004,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,REMATE PATENTES ALCOHOLICAS                       ,0,0,0,0,0,0,0,,0
28/02/2025,115-03-01-001-001-005,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MINERAS                                  ,0,0,0,0,0,0,0,,0
28/02/2025,115-03-01-001-001-006,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. ENROLADOS                      ,30000000,30000000,14216013,424334,15783987,2903812,6107440,20.0,9676547
28/02/2025,115-03-01-001-001-007,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. NO ENROLADOS                             ,5000000,5000000,4996874,0,3126,0,3126,,0
28/02/2025,115-03-01-001-001-008,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,CONVENIOS PATENTES MUNICIPALES          ,0,0,0,0,0,0,0,,0
28/02/2025,115-03-01-001-001-009,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTE PROVISORIA,0,0,-1171980,807271,1171980,807271,1171980,,0
28/02/2025,115-03-01-001-002-000,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,DE BENEFICIO FONDO COMUN,0,0,0,0,0,0,0,,0
