FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PERCIBIDO_PARCIAL,PERCIBIDO_ACUMULADO,%_ACUMULADO,POR_PERCIBIR_A_LA_FECHA
31/05/2024,115-03-01-001-001-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES FUERA DE ROL,58710579,58710579,-209907327,26803074,268617906,26803074,268617906,458.0,0
31/05/2024,115-03-01-001-001-002,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES ENROLADAS,5075707788,5223070506,3462958721,71964,1760111785,3358067,1637603165,31.0,122508620
31/05/2024,115-03-01-001-001-003,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES PRIMER SEMESTRE,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-001-001-004,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,REMATE PATENTES ALCOHOLICAS                       ,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-001-001-005,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MINERAS                                  ,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-001-001-006,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. ENROLADOS                      ,42994231,42994231,29180580,33594,13813651,319734,8203011,19.0,5610640
31/05/2024,115-03-01-001-001-007,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. NO ENROLADOS                             ,9246709,9246709,5491623,1349600,3755086,1349600,3755086,41.0,0
31/05/2024,115-03-01-001-001-008,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,CONVENIOS PATENTES MUNICIPALES          ,77340693,77340693,77340693,0,0,0,0,,0
31/05/2024,115-03-01-001-002-000,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,DE BENEFICIO FONDO COMUN,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-002-001-000,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,EN IMPUESTO TERRITORIAL,1828086669,1828086669,1118157468,379303789,709929201,379303789,709929201,39.0,0
31/05/2024,115-03-01-002-002-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,DERECHOS DE ASEO PATENTES PROVISORIAS             ,51363865,51363865,41209948,1717583,10153917,1717583,10153917,20.0,0
31/05/2024,115-03-01-002-002-002,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,DERECHOS DE ASEO PATENTES ENROLADAS     ,789369224,789369224,575028697,1748540,214340527,3242040,171787800,22.0,42552727
31/05/2024,115-03-01-002-002-003,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,DERECHOS DE ASEO ROL CONTRIBUCIONES,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-002-002-004,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,DERECHOS DE ASEO FERIAS LIBRES Y PERSAS           ,3939842,3939842,3397899,47207,541943,47207,541943,14.0,0
31/05/2024,115-03-01-002-002-005,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,DERECHO DE ASEO FERIAS LIBRES                     ,0,0,0,0,0,0,0,,0
31/05/2024,115-03-01-002-003-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,DERECHOS DE ASEO,ASEO DOMICILIARIO 1 CUOTA               ,2478306512,2478306512,2437645320,27895752,40661192,27895752,40661192,2.0,0
